word,score
RAVES,27417
SAVER,27417
VARES,27417
VERSA,27417
IRATE,27385
RETIA,27385
TERAI,27385
TIARE,27385
ASHEN,27373
HANSE,27373
KETAS,27362
SKATE,27362
STAKE,27362
STEAK,27362
TAKES,27362
TEAKS,27362
REINS,27347
RESIN,27347
RINES,27347
RINSE,27347
RISEN,27347
SERIN,27347
SIREN,27347
ARILS,27322
LAIRS,27322
LARIS,27322
LIARS,27322
LIRAS,27322
RAILS,27322
RIALS,27322
URAOS,27300
OLATE,27282
PAUSE,27265
AIRTS,27249
ARTIS,27249
ASTIR,27249
RAITS,27249
SITAR,27249
STAIR,27249
STRIA,27249
TARSI,27249
TIARS,27249
ADORE,27244
ENOLS,27244
GEANS,27244
GENAS,27244
LENOS,27244
LOSEN,27244
NAGES,27244
NOELS,27244
NOLES,27244
OARED,27244
OREAD,27244
AMUSE,27243
BANES,27229
BASEN,27229
BEANS,27229
NABES,27229
NOTES,27171
ONSET,27171
SETON,27171
STENO,27171
STONE,27171
TONES,27171
RAINE,27156
ALTOS,27146
LOAST,27146
LOTAS,27146
LOTSA,27146
SALTO,27146
TOLAS,27146
PORES,27136
POSER,27136
PROSE,27136
REPOS,27136
ROPES,27136
SPORE,27136
KANES,27133
SKEAN,27133
SNAKE,27133
SNEAK,27133
RAZES,27119
MOERS,27114
MORES,27114
MORSE,27114
OASES,27114
OMERS,27114
SMORE,27114
DORSA,27108
ROADS,27108
SAROD,27108
SORDA,27108
EIDOS,27102
OYERS,27100
YORES,27100
AVISE,27084
CAUSE,27075
SAUCE,27075
SEPAD,27073
SPADE,27073
SPAED,27073
ALONE,27053
ANOLE,27053
DAMES,27051
MASED,27051
MEADS,27051
MESAD,27051
SAYED,27037
YEADS,27037
AIRNS,27020
ARNIS,27020
NARIS,27020
RAINS,27020
RANIS,27020
SARIN,27020
ATONE,26980
NEATO,26980
OATEN,26980
OUSIA,26967
RAJES,26958
REJAS,26958
CEROS,26946
CORES,26946
CORSE,26946
SCORE,26946
OPERA,26945
PAREO,26945
PORAE,26945
RAXES,26942
AMORE,26923
MORAE,26923
ALEFS,26922
FALES,26922
FALSE,26922
FEALS,26922
FLEAS,26922
LEAFS,26922
LOANS,26917
SALON,26917
SLOAN,26917
SOLAN,26917
CADES,26883
CASED,26883
DACES,26883
ECADS,26883
FATES,26849
FEAST,26849
FEATS,26849
FESTA,26849
FETAS,26849
SANTO,26844
HAUSE,26822
ALEWS,26809
ASPRO,26809
PRAOS,26809
PROAS,26809
PSORA,26809
RAPSO,26809
SAPOR,26809
SOPRA,26809
SWALE,26809
SWEAL,26809
WALES,26809
WEALS,26809
POISE,26803
SIEUR,26796
MOARS,26787
MORAS,26787
ROAMS,26787
SEIZA,26786
ALERT,26784
ALTER,26784
ARTEL,26784
LATER,26784
RATEL,26784
TALER,26784
ADIOS,26775
AIDOS,26775
DOSAI,26775
OCREA,26755
MAPES,26752
PEASY,26738
SWEAT,26736
TAWSE,26736
TWAES,26736
WASTE,26736
WETAS,26736
SAMEY,26716
SEAMY,26716
YSAME,26716
AGUES,26693
AUGES,26693
EUSOL,26693
HEROS,26693
HOERS,26693
HORSE,26693
HOSER,26693
LOUSE,26693
OUSEL,26693
ROHES,26693
SHERO,26693
SHOER,26693
SHORE,26693
USAGE,26693
ABUSE,26678
BEAUS,26678
NERTS,26673
RENTS,26673
STERN,26673
TERNS,26673
SLART,26648
ISLET,26642
ISTLE,26642
LITES,26642
STEIL,26642
STILE,26642
TEILS,26642
TILES,26642
ASHED,26630
DEASH,26630
HADES,26630
HEADS,26630
SADHE,26630
SHADE,26630
AJIES,26625
FANES,26620
TOUSE,26620
ACROS,26619
ARCOS,26619
ORCAS,26619
OSCAR,26619
AREAS,26616
ARSES,26616
EASER,26616
ERASE,26616
RARES,26616
RASER,26616
RASES,26616
RASSE,26616
REARS,26616
SAREE,26616
SASER,26616
SEARE,26616
SEARS,26616
SERRA,26616
COSIE,26613
AIXES,26609
AUREI,26605
URAEI,26605
DRIES,26604
RESID,26604
RIDES,26604
SIDER,26604
SIRED,26604
CAPES,26584
PACES,26584
SCAPE,26584
SPACE,26584
UKASE,26582
ERGOS,26564
ESROG,26564
GOERS,26564
GORES,26564
GORSE,26564
OGRES,26564
REGOS,26564
SOGER,26564
ACMES,26562
CAMES,26562
EMACS,26562
MACES,26562
MESCA,26562
LEARN,26555
NERAL,26555
RENAL,26555
BOERS,26549
BORES,26549
BROSE,26549
ROBES,26549
SOBER,26549
SEWAN,26507
WANES,26507
WEANS,26507
DEGAS,26501
DELOS,26501
DOLES,26501
EGADS,26501
GADES,26501
LODES,26501
LOSED,26501
SOLDE,26501
SOLED,26501
BASED,26486
BEADS,26486
SABED,26486
AVELS,26483
LAVES,26483
LEVAS,26483
SALVE,26483
SELVA,26483
SLAVE,26483
VALES,26483
VALSE,26483
VEALS,26483
ANTRE,26482
EARNT,26482
PSOAI,26476
AURIS,26469
MOAIS,26454
KEROS,26453
KORES,26453
ROKES,26453
TELIA,26451
DOEST,26428
DOTES,26428
TOSED,26428
LARNS,26419
SNARL,26419
AIDER,26413
AIRED,26413
DEAIR,26413
ELSIN,26413
IRADE,26413
LENIS,26413
LIENS,26413
LINES,26413
NELIS,26413
REDIA,26413
SILEN,26413
STAVE,26410
VESTA,26410
OUENS,26391
AKSED,26390
ASKED,26390
KADES,26390
AULOS,26366
HAROS,26366
HOARS,26366
HORAS,26366
ROSHA,26366
HOISE,26360
ABORE,26358
RANTS,26346
STARN,26346
TARNS,26346
TRANS,26346
INSET,26340
NEIST,26340
NITES,26340
SENTI,26340
SIENT,26340
STEIN,26340
TEINS,26340
TINES,26340
EPHAS,26331
HEAPS,26331
PHASE,26331
SHAPE,26331
ALIST,26315
LITAS,26315
TAILS,26315
ALOED,26310
HAEMS,26309
HAMES,26309
SHAME,26309
EPRIS,26305
PERIS,26305
PIERS,26305
PRIES,26305
PRISE,26305
RIPES,26305
SPEIR,26305
SPIER,26305
SPIRE,26305
YEAHS,26295
AUTOS,26293
SOCIA,26286
EMIRS,26283
MERIS,26283
MIRES,26283
MISER,26283
RIEMS,26283
RIMES,26283
DARIS,26277
RAIDS,26277
RIADS,26277
OAKER,26262
ROAKE,26262
AGROS,26237
GORAS,26237
SARGO,26237
TODEA,26237
ALIEN,26222
ALINE,26222
ANILE,26222
BOARS,26222
BORAS,26222
ELAIN,26222
LIANE,26222
NELIA,26222
BIOSE,26216
BOSIE,26216
ELOPS,26202
GAPES,26202
LOPES,26202
OLPES,26202
PAGES,26202
PEAGS,26202
POLES,26202
SLOPE,26202
NODES,26199
NOSED,26199
ONDES,26199
SONDE,26199
LURES,26195
LUSER,26195
RULES,26195
PEBAS,26187
LAZES,26185
ZEALS,26185
AVENS,26181
NAVES,26181
VANES,26181
VENAS,26181
EGMAS,26180
GAMES,26180
LOMES,26180
MAGES,26180
MELOS,26180
MOLES,26180
ALODS,26174
LOADS,26174
ODALS,26174
SOYLE,26166
YAGES,26166
BEAMS,26165
BEMAS,26165
MABES,26165
ABEYS,26151
ABSEY,26151
ABYES,26151
BAYES,26151
EATIN,26149
ENTIA,26149
TENIA,26149
TINEA,26149
ACHES,26141
CHASE,26141
ECASH,26141
ESTOP,26129
PESTO,26129
PETOS,26129
POETS,26129
POSET,26129
POSTE,26129
POTES,26129
STOEP,26129
STOPE,26129
TOPES,26129
KAROS,26126
KORAS,26126
OKRAS,26126
STURE,26122
TRUES,26122
USTER,26122
OKIES,26120
CIRES,26115
CRIES,26115
CRISE,26115
ERICS,26115
ICERS,26115
RICES,26115
SCIRE,26115
SERIC,26115
PAIRE,26114
PERAI,26114
ZETAS,26112
MESTO,26107
MOSTE,26107
MOTES,26107
SMOTE,26107
TOMES,26107
DATOS,26101
DOATS,26101
TOADS,26101
EYOTS,26093
AIMER,26092
MAIRE,26092
RAMIE,26092
RIMAE,26092
PEAKS,26091
SPAKE,26091
SPEAK,26091
ANILS,26086
NAILS,26086
NILAS,26086
SLAIN,26086
SNAIL,26086
AIERY,26078
AYRIE,26078
KAMES,26069
KASME,26069
MAKES,26069
MEAKS,26069
SAMEK,26069
SUONA,26064
OHIAS,26033
ANTIS,26013
NATIS,26013
SAINT,26013
SATIN,26013
STAIN,26013
TAINS,26013
TIANS,26013
TINAS,26013
CAGES,26012
CLOSE,26012
COLES,26012
SOCLE,26012
OLPAE,26011
PEOLA,26011
ANODE,26008
AXELS,26008
AXLES,26008
LAXES,26008
ALURE,26004
UREAL,26004
AMOLE,25989
MALEO,25989
PAIRS,25978
PARIS,25978
AMIRS,25956
MAIRS,25956
RAMIS,25956
SIMAR,25956
JEATS,25951
TAJES,25951
FORES,25940
FROES,25940
ORFES,25940
COSET,25939
COSTE,25939
COTES,25939
ESCOT,25939
ESTOC,25939
SCOTE,25939
POTAE,25938
TAXES,25935
TEXAS,25935
URATE,25931
DREST,25930
AREIC,25924
CERIA,25924
ERICA,25924
AGIOS,25904
CAKES,25901
OPENS,25900
PEONS,25900
PONES,25900
SNOEP,25900
NURSE,25893
RUNES,25893
OBIAS,25889
NAZES,25883
SENZA,25883
MESON,25878
NOMES,25878
OMENS,25878
OMNES,25878
FADES,25877
SAFED,25877
APOLS,25875
OPALS,25875
SALOP,25875
DONAS,25872
SURAL,25868
NOSEY,25864
NOYES,25864
HEIRS,25862
HIRES,25862
ILEUS,25862
LIEUS,25862
RHIES,25862
SEHRI,25862
SHIER,25862
SHIRE,25862
LOAMS,25853
LOMAS,25853
MOALS,25853
MOLAS,25853
OWERS,25827
OWRES,25827
RESOW,25827
SEROW,25827
SOWER,25827
SWORE,25827
WEROS,25827
WORSE,25827
ACOEL,25821
ALDER,25812
ARLED,25812
